Abomination,5,4,4,Rare,Neutral,Minion
Abomination,Rare,Neutral,Minion,5,4,4
Abusive Sergeant,1,2,1,Common,Neutral,Minion
Abusive Sergeant,Common,Neutral,Minion,1,2,1
Acolyte of Pain,3,1,3,Common,Neutral,Minion
Acolyte of Pain,Common,Neutral,Minion,3,1,3
Adrenaline Rush,1,,,Epic,Neutral,Spell
Al'Akir the Windlord,8,3,5,Legendary,Shaman,Minion
Alarm-o-Bot,3,0,3,Rare,Neutral,Minion
Alarm-o-Bot,Rare,Neutral,Minion,3,0,3
Aldor Peacekeeper,3,3,3,Rare,Paladin,Minion
Aldor Peacekeeper,Rare,Paladin,Minion,3,3,3
Alexstrasza,9,8,8,Legendary,Neutral,Minion
Alexstrasza,Legendary,Neutral,Minion,9,8,8
Amani Berserker,2,2,3,Common,Neutral,Minion
Amani Berserker,Common,Neutral,Minion,2,2,3
Ancestral Spirit,2,,,Rare,Shaman,Spell
Ancient Brewmaster,4,5,4,Common,Neutral,Minion
Ancient Mage,4,2,5,Rare,Neutral,Minion
Ancient of Lore,7,5,5,Epic,Druid,Minion
Ancient of War,7,5,5,Epic,Druid,Minion
Ancient Secrets,0,,,Common,Druid,Spell
Ancient Teachings,0,,,Common,Druid,Spell
Ancient Watcher,2,4,5,Rare,Neutral,Minion
Angry Chicken,1,1,1,Rare,Neutral,Minion
Animal Companion,3,,,Free,Hunter,Spell
Arathi Weaponsmith,4,3,3,Common,Warrior,Minion
Arcane Golem,3,4,2,Rare,Neutral,Minion
Archmage Antonidas,7,5,7,Legendary,Mage,Minion
Argent Commander,6,4,2,Rare,Neutral,Minion
Argent Protector,2,2,2,Common,Paladin,Minion
Argent Squire,1,1,1,Common,Neutral,Minion
Armorsmith,2,1,4,Rare,Warrior,Minion
Ashbringer,5,5,3,Legendary,Paladin,Weapon
Auchenai Soulpriest,4,3,5,Rare,Priest,Minion
Avenging Wrath,6,,,Epic,Paladin,Spell
Azure Drake,5,4,4,Rare,Neutral,Minion
Baine Bloodhoof,4,4,5,Legendary,Neutral,Minion
Bananas,1,,,None,Neutral,Spell
Bane of Doom,5,,,Epic,Warlock,Spell
Baron Geddon,7,7,5,Legendary,Neutral,Minion
Barrel,0,0,2,Common,Neutral,Minion
Barrel Toss,1,,,Common,Neutral,Spell
Battle Axe,1,2,2,None,Warrior,Weapon
Battle Rage,2,,,Common,Warrior,Spell
Bear Form,0,,,Common,Druid,Spell
Bestial Wrath,1,,,Epic,Hunter,Spell
Betrayal,2,,,Common,Rogue,Spell
Big Game Hunter,3,4,2,Epic,Neutral,Minion
Bite,4,,,Rare,Druid,Spell
Blade Flurry,2,,,Rare,Rogue,Spell
Blessed Champion,5,,,Rare,Paladin,Spell
Blessing of Wisdom,1,,,Common,Paladin,Spell
Blizzard,6,,,Rare,Mage,Spell
Blood Fury,3,3,8,Common,Warlock,Weapon
Blood Imp,1,0,1,Common,Warlock,Minion
Blood Knight,3,3,3,Epic,Neutral,Minion
Bloodmage Thalnos,2,1,1,Legendary,Neutral,Minion
Bloodsail Corsair,1,1,2,Rare,Neutral,Minion
Bloodsail Raider,2,2,3,Common,Neutral,Minion
Boar,1,1,1,Common,Neutral,Minion
Boar,Common,Neutral,Minion,1,1,1
Brawl,5,,,Epic,Warrior,Spell
Brewmaster,4,4,4,Common,Neutral,Minion
Cabal Shadow Priest,6,4,5,Epic,Priest,Minion
Cairne Bloodhoof,6,4,5,Legendary,Neutral,Minion
Captain Greenskin,5,5,4,Legendary,Neutral,Minion
Cenarius,9,5,8,Legendary,Druid,Minion
Chaos Bolt,2,,,Common,Warlock,Spell
Chicken,0,1,1,None,Neutral,Minion
Circle of Healing,0,,,Common,Priest,Spell
Cold Blood,1,,,Common,Rogue,Spell
Coldlight Oracle,3,2,2,Rare,Neutral,Minion
Coldlight Seer,3,2,3,Rare,Neutral,Minion
Commanding Shout,2,,,Rare,Warrior,Spell
Conceal,1,,,Common,Rogue,Spell
Cone of Cold,4,,,Common,Mage,Spell
Counterspell,3,,,Rare,Mage,Spell
Crazed Alchemist,2,2,2,Rare,Neutral,Minion
Crazed Hunter,1,1,1,Common,Neutral,Minion
Crazy Monkey,1,1,2,Common,Neutral,Minion
Cruel Taskmaster,2,2,2,Common,Warrior,Minion
Cult Master,4,4,2,Common,Neutral,Minion
Damaged Golem,1,2,1,Common,Neutral,Minion
Dark Iron Dwarf,4,4,4,Common,Neutral,Minion
Deadly Shot,3,,,Common,Hunter,Spell
Deathwing,10,12,12,Legendary,Neutral,Minion
Defender,1,2,1,Common,Paladin,Minion
Defender of Argus,4,2,3,Rare,Neutral,Minion
Defias Bandit,1,2,1,Common,Rogue,Minion
Defias Ringleader,2,2,2,Common,Rogue,Minion
Demolisher,3,1,4,Rare,Neutral,Minion
Demonfire,2,,,Common,Warlock,Spell
Devilsaur,5,5,5,Common,Neutral,Minion
Dire Wolf Alpha,2,2,2,Common,Neutral,Minion
Dispel,0,,,Common,Druid,Spell
Divine Favor,3,,,Rare,Paladin,Spell
Doomguard,5,5,7,Rare,Warlock,Minion
Doomhammer,5,2,8,Epic,Shaman,Weapon
Doomsayer,2,0,7,Epic,Neutral,Minion
Dread Corsair,4,3,3,Common,Neutral,Minion
Druid of the Claw,5,4,4,Common,Druid,Minion
Dual Warglaives,6,4,2,Common,Neutral,Weapon
Dust Devil,1,3,1,Common,Shaman,Minion
Eaglehorn Bow,3,3,2,Rare,Hunter,Weapon
Earth Elemental,5,7,8,Epic,Shaman,Minion
Earth Shock,1,,,Common,Shaman,Spell
Earthen Ring Farseer,3,3,3,Common,Neutral,Minion
Edwin VanCleef,3,2,2,Legendary,Rogue,Minion
Emboldener 3000,1,0,4,Common,Neutral,Minion
Emboldener 3000,Common,Neutral,Minion,1,0,4
Emerald Drake,4,7,6,Dream,Neutral,Minion
Emperor Cobra,3,2,3,Rare,Neutral,Minion
Equality,2,,,Rare,Paladin,Spell
Ethereal Arcanist,4,3,3,Rare,Mage,Minion
Eviscerate,2,,,Common,Rogue,Spell
Explosive Shot,5,,,Rare,Hunter,Spell
Explosive Trap,2,,,Common,Hunter,Spell
Eye for an Eye,1,,,Common,Paladin,Spell
Faceless Manipulator,5,3,3,Epic,Neutral,Minion
Faerie Dragon,2,3,2,Common,Neutral,Minion
Far Sight,3,,,Epic,Shaman,Spell
Felguard,3,3,5,Rare,Warlock,Minion
Fen Creeper,5,3,6,Common,Neutral,Minion
Feral Spirit,3,,,Rare,Shaman,Spell
Finkle Einhorn,2,3,3,Legendary,Neutral,Minion
Flame Burst,3,,,Common,Neutral,Spell
Flame Imp,1,3,2,Common,Warlock,Minion
Flame of Azzinoth,1,2,1,Common,Neutral,Minion
Flare,1,,,Rare,Hunter,Spell
Flesheating Ghoul,3,2,3,Common,Neutral,Minion
Force of Nature,6,,,Epic,Druid,Spell
Forked Lightning,1,,,Common,Shaman,Spell
Freezing Trap,2,,,Common,Hunter,Spell
Frog,0,0,1,Common,Neutral,Minion
Frog,0,0,1,Free,Neutral,Minion
Frost Elemental,6,5,5,Common,Neutral,Minion
Frothing Berserker,3,2,4,Rare,Warrior,Minion
Gadgetzan Auctioneer,5,4,4,Rare,Neutral,Minion
Gladiator's Longbow,7,5,2,Epic,Hunter,Weapon
Gnoll,1,1,1,Common,Neutral,Minion
Gorehowl,7,7,1,Epic,Warrior,Weapon
Greater Heal,2,,,Rare,Priest,Spell
Grommash Hellscream,8,4,9,Legendary,Warrior,Minion
Gruul,8,7,7,Legendary,Neutral,Minion
Harrison Jones,5,5,4,Legendary,Neutral,Minion
Harvest Golem,3,2,3,Common,Neutral,Minion
Headcrack,3,,,Rare,Rogue,Spell
Hidden Gnome,2,1,3,Common,Neutral,Minion
Hogger,6,4,4,Legendary,Neutral,Minion
Hogger SMASH!,,,,Common,Neutral,Spell
Holy Fire,6,,,Rare,Priest,Spell
Holy Nova,5,,,Free,Priest,Spell
Holy Wrath,5,,,Rare,Paladin,Spell
Homing Chicken,1,0,1,Common,Neutral,Minion
Homing Chicken,Common,Neutral,Minion,1,0,1
Hungry Crab,1,1,2,Epic,Neutral,Minion
Hyena,2,2,2,Rare,Hunter,Minion
Ice Barrier,3,,,Common,Mage,Spell
